0 -nan -nan -nan 1850.59 1850.59 1850.59 
9935 0 -694.514 0 1850.59 1850.59 1850.59 
10023 0 -242.442 0 1850.59 1850.59 1850.59 
10060 0 712.724 0 1850.59 1850.59 1850.59 
9933 0 1289.64 0 1850.59 1850.59 1850.59 
9978 0 1491.28 0 1850.59 1850.59 1850.59 
9997 0 1632.49 0 1850.59 1850.59 1850.59 
10036 0 1712.83 0 1850.59 1850.59 1850.59 
9991 0 1774.6 0 1850.59 1850.59 1850.59 
10061 0 1792.07 0 1850.59 1850.59 1850.59 
9980 0 1818.64 0 1850.59 1850.59 1850.59 
10026 0 1816.28 0 1850.59 1850.59 1850.59 
9992 0 1831.47 0 1850.59 1850.59 1850.59 
9988 0 1844.21 0 1850.59 1850.59 1850.59 
10051 0 1829.67 0 1850.59 1850.59 1850.59 
9980 0 1836.67 0 1850.59 1850.59 1850.59 
9988 0 1844.21 0 1850.59 1850.59 1850.59 
9998 0 1836.37 0 1850.59 1850.59 1850.59 
9974 0 1837.78 0 1850.59 1850.59 1850.59 
10028 0 1833.87 0 1850.59 1850.59 1850.59 
9993 0 1840.29 0 1850.59 1850.59 1850.59 
9996 0 1839.74 0 1850.59 1850.59 1850.59 
10015 0 1839.24 0 1850.59 1850.59 1850.59 
9996 0 1839.74 0 1850.59 1850.59 1850.59 
9998 0 1833.37 0 1850.59 1850.59 1850.59 
9999 0 1836.18 0 1850.59 1850.59 1850.59 
9964 0 1848.66 0 1850.59 1850.59 1850.59 
10032 0 1830.14 0 1850.59 1850.59 1850.59 
9962 0 1849.03 0 1850.59 1850.59 1850.59 
10032 0 1839.11 0 1850.59 1850.59 1850.59 
10015 0 1833.25 0 1850.59 1850.59 1850.59 
9997 0 1833.55 0 1850.59 1850.59 1850.59 
9995 0 1839.92 0 1850.59 1850.59 1850.59 
9995 0 1839.92 0 1850.59 1850.59 1850.59 
9979 0 1839.86 0 1850.59 1850.59 1850.59 
10022 0 1840.95 0 1850.59 1850.59 1850.59 
9997 0 1842.55 0 1850.59 1850.59 1850.59 
9998 0 1833.37 0 1850.59 1850.59 1850.59 
10013 0 1833.62 0 1850.59 1850.59 1850.59 
9960 0 1849.4 0 1850.59 1850.59 1850.59 
9989 0 1838.02 0 1850.59 1850.59 1850.59 
10036 0 1829.41 0 1850.59 1850.59 1850.59 
9976 0 1852.45 0 1850.59 1850.59 1850.59 
10023 0 1834.78 0 1850.59 1850.59 1850.59 
10006 0 1831.9 0 1850.59 1850.59 1850.59 
9996 0 1839.74 0 1850.59 1850.59 1850.59 
10000 0 1836 0 1850.59 1850.59 1850.59 
10007 0 1834.72 0 1850.59 1850.59 1850.59 
9990 0 1840.84 0 1850.59 1850.59 1850.59 
10001 0 1847.82 0 1850.59 1850.59 1850.59 
9978 0 1840.05 0 1850.59 1850.59 1850.59 
10026 0 1828.25 0 1850.59 1850.59 1850.59 
9990 0 1843.84 0 1850.59 1850.59 1850.59 
9997 0 1836.55 0 1850.59 1850.59 1850.59 
10017 0 1832.88 0 1850.59 1850.59 1850.59 
9995 0 1839.92 0 1850.59 1850.59 1850.59 
9988 0 1847.22 0 1850.59 1850.59 1850.59 
9997 0 1839.55 0 1850.59 1850.59 1850.59 
10008 0 1834.53 0 1850.59 1850.59 1850.59 
10001 0 1838.82 0 1850.59 1850.59 1850.59 
9999 0 1833.18 0 1850.59 1850.59 1850.59 
9997 0 1839.55 0 1850.59 1850.59 1850.59 
9975 0 1843.61 0 1850.59 1850.59 1850.59 
10020 0 1838.32 0 1850.59 1850.59 1850.59 
10000 0 1839 0 1850.59 1850.59 1850.59 
9996 0 1839.74 0 1850.59 1850.59 1850.59 
10009 0 1834.35 0 1850.59 1850.59 1850.59 
10001 0 1835.82 0 1850.59 1850.59 1850.59 
9995 0 1842.92 0 1850.59 1850.59 1850.59 
9998 0 1836.37 0 1850.59 1850.59 1850.59 
9978 0 1846.06 0 1850.59 1850.59 1850.59 
10023 0 1837.77 0 1850.59 1850.59 1850.59 
9992 0 1837.47 0 1850.59 1850.59 1850.59 
9998 0 1836.37 0 1850.59 1850.59 1850.59 
10017 0 1832.88 0 1850.59 1850.59 1850.59 
9997 0 1842.55 0 1850.59 1850.59 1850.59 
9994 0 1834.1 0 1850.59 1850.59 1850.59 
9998 0 1845.37 0 1850.59 1850.59 1850.59 
9965 0 1851.48 0 1850.59 1850.59 1850.59 
10004 0 1832.27 0 1850.59 1850.59 1850.59 
10024 0 1828.61 0 1850.59 1850.59 1850.59 
9999 0 1842.18 0 1850.59 1850.59 1850.59 
10010 0 1834.17 0 1850.59 1850.59 1850.59 
9970 0 1841.52 0 1850.59 1850.59 1850.59 
9985 0 1847.77 0 1850.59 1850.59 1850.59 
10022 0 1837.96 0 1850.59 1850.59 1850.59 
10019 0 1829.52 0 1850.59 1850.59 1850.59 
10002 0 1838.63 0 1850.59 1850.59 1850.59 
9994 0 1840.1 0 1850.59 1850.59 1850.59 
9999 0 1833.18 0 1850.59 1850.59 1850.59 
9966 0 1851.29 0 1850.59 1850.59 1850.59 
10033 0 1844.91 0 1850.59 1850.59 1850.59 
9993 0 1837.29 0 1850.59 1850.59 1850.59 
9999 0 1833.18 0 1850.59 1850.59 1850.59 
10015 0 1839.24 0 1850.59 1850.59 1850.59 
9998 0 1836.37 0 1850.59 1850.59 1850.59 
9993 0 1834.28 0 1850.59 1850.59 1850.59 
9998 0 1839.37 0 1850.59 1850.59 1850.59 
10003 0 1844.45 0 1850.59 1850.59 1850.59 
10001 0 1838.82 0 1850.59 1850.59 1850.59 
9989 0 1838.02 0 1850.59 1850.59 1850.59 
9997 0 1839.55 0 1850.59 1850.59 1850.59 
10005 0 1835.08 0 1850.59 1850.59 1850.59 
10024 0 1831.6 0 1850.59 1850.59 1850.59 
9995 0 1842.92 0 1850.59 1850.59 1850.59 
9999 0 1845.18 0 1850.59 1850.59 1850.59 
10004 0 1835.27 0 1850.59 1850.59 1850.59 
10003 0 1838.45 0 1850.59 1850.59 1850.59 
9996 0 1839.74 0 1850.59 1850.59 1850.59 
10000 0 1833 0 1850.59 1850.59 1850.59 
9974 0 1843.79 0 1850.59 1850.59 1850.59 
10027 0 1834.05 0 1850.59 1850.59 1850.59 
9993 0 1837.29 0 1850.59 1850.59 1850.59 
9974 0 1840.79 0 1850.59 1850.59 1850.59 
10013 0 1836.61 0 1850.59 1850.59 1850.59 
10022 0 1831.97 0 1850.59 1850.59 1850.59 
9988 0 1838.21 0 1850.59 1850.59 1850.59 
9999 0 1839.18 0 1850.59 1850.59 1850.59 
10013 0 1833.62 0 1850.59 1850.59 1850.59 
10003 0 1835.45 0 1850.59 1850.59 1850.59 
9986 0 1841.58 0 1850.59 1850.59 1850.59 
9997 0 1836.55 0 1850.59 1850.59 1850.59 
9976 0 1840.42 0 1850.59 1850.59 1850.59 
10029 0 1830.69 0 1850.59 1850.59 1850.59 
9997 0 1842.55 0 1850.59 1850.59 1850.59 
9996 0 1833.73 0 1850.59 1850.59 1850.59 
9967 0 1842.08 0 1850.59 1850.59 1850.59 
10011 0 1839.98 0 1850.59 1850.59 1850.59 
10021 0 1832.15 0 1850.59 1850.59 1850.59 
9996 0 1833.73 0 1850.59 1850.59 1850.59 
9978 0 1846.06 0 1850.59 1850.59 1850.59 
10036 0 1829.41 0 1850.59 1850.59 1850.59 
9997 0 1842.55 0 1850.59 1850.59 1850.59 
9999 0 1842.18 0 1850.59 1850.59 1850.59 
10065 0 1824.14 0 1850.59 1850.59 1850.59 
9933 0 1848.38 0 1850.59 1850.59 1850.59 
10000 0 1836 0 1850.59 1850.59 1850.59 
9996 0 1842.74 0 1850.59 1850.59 1850.59 
10002 0 1838.63 0 1850.59 1850.59 1850.59 
9985 0 1847.77 0 1850.59 1850.59 1850.59 
10003 0 1844.45 0 1850.59 1850.59 1850.59 
9994 0 1837.1 0 1850.59 1850.59 1850.59 
10032 0 1827.15 0 1850.59 1850.59 1850.59 
9977 0 1846.25 0 1850.59 1850.59 1850.59 
10028 0 1830.87 0 1850.59 1850.59 1850.59 
9994 0 1834.1 0 1850.59 1850.59 1850.59 
9998 0 1845.37 0 1850.59 1850.59 1850.59 
10005 0 1844.08 0 1850.59 1850.59 1850.59 
10001 0 1832.82 0 1850.59 1850.59 1850.59 
9993 0 1834.28 0 1850.59 1850.59 1850.59 
10000 0 1845 0 1850.59 1850.59 1850.59 
9991 0 1834.65 0 1850.59 1850.59 1850.59 
10013 0 1833.62 0 1850.59 1850.59 1850.59 
9992 0 1846.48 0 1850.59 1850.59 1850.59 
9999 0 1842.18 0 1850.59 1850.59 1850.59 
10014 0 1830.44 0 1850.59 1850.59 1850.59 
9996 0 1839.74 0 1850.59 1850.59 1850.59 
9997 0 1839.55 0 1850.59 1850.59 1850.59 
9998 0 1833.37 0 1850.59 1850.59 1850.59 
10002 0 1838.63 0 1850.59 1850.59 1850.59 
9966 0 1845.27 0 1850.59 1850.59 1850.59 
10025 0 1831.42 0 1850.59 1850.59 1850.59 
9971 0 1841.34 0 1850.59 1850.59 1850.59 
10002 0 1838.63 0 1850.59 1850.59 1850.59 
10027 0 1831.06 0 1850.59 1850.59 1850.59 
10006 0 1834.9 0 1850.59 1850.59 1850.59 
9978 0 1843.05 0 1850.59 1850.59 1850.59 
9984 0 1841.95 0 1850.59 1850.59 1850.59 
10036 0 1826.42 0 1850.59 1850.59 1850.59 
9994 0 1840.1 0 1850.59 1850.59 1850.59 
9968 0 1844.9 0 1850.59 1850.59 1850.59 
10039 0 1825.88 0 1850.59 1850.59 1850.59 
9963 0 1845.83 0 1850.59 1850.59 1850.59 
9993 0 1846.29 0 1850.59 1850.59 1850.59 
10002 0 1838.63 0 1850.59 1850.59 1850.59 
10034 0 1829.78 0 1850.59 1850.59 1850.59 
9999 0 1839.18 0 1850.59 1850.59 1850.59 
10022 0 1831.97 0 1850.59 1850.59 1850.59 
9974 0 1837.78 0 1850.59 1850.59 1850.59 
10035 0 1841.55 0 1850.59 1850.59 1850.59 
9994 0 1849.11 0 1850.59 1850.59 1850.59 
9994 0 1837.1 0 1850.59 1850.59 1850.59 
10011 0 1836.98 0 1850.59 1850.59 1850.59 
9961 0 1846.2 0 1850.59 1850.59 1850.59 
10013 0 1830.62 0 1850.59 1850.59 1850.59 
9990 0 1837.84 0 1850.59 1850.59 1850.59 
10042 0 1834.3 0 1850.59 1850.59 1850.59 
9962 0 1843 0 1850.59 1850.59 1850.59 
10029 0 1827.7 0 1850.59 1850.59 1850.59 
9993 0 1843.29 0 1850.59 1850.59 1850.59 
9971 0 1841.34 0 1850.59 1850.59 1850.59 
10003 0 1832.45 0 1850.59 1850.59 1850.59 
10023 0 1843.76 0 1850.59 1850.59 1850.59 
9998 0 1848.37 0 1850.59 1850.59 1850.59 
9973 0 1840.97 0 1850.59 1850.59 1850.59 
10005 0 1835.08 0 1850.59 1850.59 1850.59 
10020 0 1838.32 0 1850.59 1850.59 1850.59 
9997 0 1833.55 0 1850.59 1850.59 1850.59 
10010 0 1834.17 0 1850.59 1850.59 1850.59 
9991 0 1843.66 0 1850.59 1850.59 1850.59 
10003 0 1838.45 0 1850.59 1850.59 1850.59 
10001 0 1838.82 0 1850.59 1850.59 1850.59 
9965 0 1848.47 0 1850.59 1850.59 1850.59 
10031 0 1830.33 0 -1850.59 -1850.59 -1850.59 
9993 0 1362.95 0 -1850.59 -1850.59 -1850.59 
10000 0 -297 0 -1850.59 -1850.59 -1850.59 
10017 0 -1045.22 0 -1850.59 -1850.59 -1850.59 
9996 0 -1308.52 0 -1850.59 -1850.59 -1850.59 
9995 0 -1539.77 0 -1850.59 -1850.59 -1850.59 
9996 0 -1668.67 0 -1850.59 -1850.59 -1850.59 
9978 0 -1743.84 0 -1850.59 -1850.59 -1850.59 
10021 0 -1781.26 0 -1850.59 -1850.59 -1850.59 
9995 0 -1806.9 0 -1850.59 -1850.59 -1850.59 
9975 0 -1825.56 0 -1850.59 -1850.59 -1850.59 
10078 0 -1821.79 0 -1850.59 -1850.59 -1850.59 
9963 0 -1839.81 0 -1850.59 -1850.59 -1850.59 
9980 0 -1833.67 0 -1850.59 -1850.59 -1850.59 
10033 0 -1826.97 0 -1850.59 -1850.59 -1850.59 
9974 0 -1846.8 0 -1850.59 -1850.59 -1850.59 
9999 0 -1833.18 0 -1850.59 -1850.59 -1850.59 
10017 0 -1835.88 0 -1850.59 -1850.59 -1850.59 
9998 0 -1848.37 0 -1850.59 -1850.59 -1850.59 
10014 0 -1833.43 0 -1850.59 -1850.59 -1850.59 
9964 0 -1839.62 0 -1850.59 -1850.59 -1850.59 
10023 0 -1834.78 0 -1850.59 -1850.59 -1850.59 
9997 0 -1845.55 0 -1850.59 -1850.59 -1850.59 
10018 0 -1838.69 0 -1850.59 -1850.59 -1850.59 
9965 0 -1851.48 0 -1850.59 -1850.59 -1850.59 
10023 0 -1834.78 0 -1850.59 -1850.59 -1850.59 
9996 0 -1833.73 0 -1850.59 -1850.59 -1850.59 
10019 0 -1832.52 0 -1850.59 -1850.59 -1850.59 
9961 0 -1849.21 0 -1850.59 -1850.59 -1850.59 
10029 0 -1827.7 0 -1850.59 -1850.59 -1850.59 
9987 0 -1844.4 0 -1850.59 -1850.59 -1850.59 
9972 0 -1853.19 0 -1850.59 -1850.59 -1850.59 
10003 0 -1832.45 0 -1850.59 -1850.59 -1850.59 
10023 0 -1828.79 0 -1850.59 -1850.59 -1850.59 
9997 0 -1842.55 0 -1850.59 -1850.59 -1850.59 
9972 0 -1844.16 0 -1850.59 -1850.59 -1850.59 
10032 0 -1827.15 0 -1850.59 -1850.59 -1850.59 
9970 0 -1844.53 0 -1850.59 -1850.59 -1850.59 
9993 0 -1840.29 0 -1850.59 -1850.59 -1850.59 
10046 0 -1824.61 0 -1850.59 -1850.59 -1850.59 
9995 0 -1839.92 0 -1850.59 -1850.59 -1850.59 
9998 0 -1839.37 0 -1850.59 -1850.59 -1850.59 
9998 0 -1833.37 0 -1850.59 -1850.59 -1850.59 
9977 0 -1843.24 0 -1850.59 -1850.59 -1850.59 
9998 0 -1851.37 0 -1850.59 -1850.59 -1850.59 
10025 0 -1831.42 0 -1850.59 -1850.59 -1850.59 
9993 0 -1834.28 0 -1850.59 -1850.59 -1850.59 
10011 0 -1836.98 0 -1850.59 -1850.59 -1850.59 
9989 0 -1838.02 0 -1850.59 -1850.59 -1850.59 
10027 0 -1831.06 0 -1850.59 -1850.59 -1850.59 
9995 0 -1839.92 0 -1850.59 -1850.59 -1850.59 
10012 0 -1836.8 0 -1850.59 -1850.59 -1850.59 
9961 0 -1840.18 0 -1850.59 -1850.59 -1850.59 
10024 0 -1834.6 0 -1850.59 -1850.59 -1850.59 
9998 0 -1839.37 0 -1850.59 -1850.59 -1850.59 
10015 0 -1833.25 0 -1850.59 -1850.59 -1850.59 
9997 0 -1839.55 0 -1850.59 -1850.59 -1850.59 
9955 0 -1856.35 0 -1850.59 -1850.59 -1850.59 
10040 0 -1828.69 0 -1850.59 -1850.59 -1850.59 
9974 0 -1840.79 0 -1850.59 -1850.59 -1850.59 
10022 0 -1834.96 0 -1850.59 -1850.59 -1850.59 
9997 0 -1839.55 0 -1850.59 -1850.59 -1850.59 
9997 0 -1839.55 0 -1850.59 -1850.59 -1850.59 
10015 0 -1839.24 0 -1850.59 -1850.59 -1850.59 
9995 0 -1839.92 0 -1850.59 -1850.59 -1850.59 
9994 0 -1834.1 0 -1850.59 -1850.59 -1850.59 
10000 0 -1836 0 -1850.59 -1850.59 -1850.59 
9977 0 -1843.24 0 -1850.59 -1850.59 -1850.59 
10025 0 -1834.41 0 -1850.59 -1850.59 -1850.59 
9994 0 -1840.1 0 -1850.59 -1850.59 -1850.59 
9998 0 -1845.37 0 -1850.59 -1850.59 -1850.59 
9974 0 -1843.79 0 -1850.59 -1850.59 -1850.59 
10001 0 -1832.82 0 -1850.59 -1850.59 -1850.59 
10025 0 -1834.41 0 -1850.59 -1850.59 -1850.59 
9995 0 -1842.92 0 -1850.59 -1850.59 -1850.59 
9977 0 -1840.23 0 -1850.59 -1850.59 -1850.59 
10000 0 -1845 0 -1850.59 -1850.59 -1850.59 
10022 0 -1834.96 0 -1850.59 -1850.59 -1850.59 
10008 0 -1831.53 0 -1850.59 -1850.59 -1850.59 
10001 0 -1835.82 0 -1850.59 -1850.59 -1850.59 
9999 0 -1842.18 0 -1850.59 -1850.59 -1850.59 
9961 0 -1843.19 0 -1850.59 -1850.59 -1850.59 
10072 0 -1822.88 0 -1850.59 -1850.59 -1850.59 
9941 0 -1855.95 0 -1850.59 -1850.59 -1850.59 
